date,dollar,CRISE,r_vol,r_oil,r_PETR4,r_PETROBRAS,ma24,macd,macdhist,bbands,rsi_dummy,atr_dummy,target_value,target_class,sentimento
2022-04-11 12:00:00,-0.0015495107082637016,53.0,2541200.0,-0.006719153697096414,7.0,23.0,0.001873828865893934,0.3487409054350934,-0.0085691359579647,0,0,0,-0.003242830235616,0.0,0.8689
2022-04-11 13:00:00,0.0008078394385409027,54.0,3712600.0,0.022724859622421212,18.0,24.0,0.002082296747613288,0.3132230660003401,-0.0352695803141744,0,0,0,0.0035492140494133,1.0,0.6369
2022-04-11 14:00:00,-0.0008710006418806149,71.0,5806400.0,-0.02656053289066007,29.0,28.0,0.0019286513626139978,0.2913987696590752,-0.0456751013243514,0,0,0,0.0008841373129107,1.0,0.9432
2022-04-11 15:00:00,-0.004294626678104985,54.0,4256600.0,-0.0007431754221233211,23.0,25.0,0.002011871211722971,0.2733722432996046,-0.0509613021470576,0,0,0,0.0,0.0,0.6486
2022-04-11 16:00:00,0.001537327146148959,43.0,12795800.0,0.05211428063141965,15.0,23.0,0.0018714966144299794,0.2561335432367784,-0.054560001767907,0,0,0,0.0091284270214468,1.0,0.9982
2022-04-12 10:00:00,-0.01048919804434234,49.0,0.0,0.007624335312348851,1.0,15.0,0.0024246911578178487,0.2644379927009481,-0.0370044418429899,0,0,0,0.0040851878546364,1.0,0.7964
2022-04-12 11:00:00,0.0032318242377469275,45.0,9259400.0,0.007516536471992907,5.0,13.0,0.0026162813592975898,0.2790988318519467,-0.017874882153593,0,0,0,0.0002905644166677,1.0,-0.7717
2022-04-12 12:00:00,0.003264424085729356,37.0,5304200.0,0.005669946302054418,5.0,16.0,0.002597142910375494,0.2882022177267203,-0.0070171970230555,0,0,0,0.0,0.0,0.7003
2022-04-12 13:00:00,0.00042809696100154504,60.0,3422600.0,-0.003956493886409729,22.0,23.0,0.0015346085105178986,0.2920501443496732,-0.002535416320082,0,0,0,-0.0049389360252404,0.0,0.8442
2022-04-12 14:00:00,0.002118346624439882,62.0,7815500.0,-0.0026811981256086304,21.0,25.0,0.001139999653315682,0.2781755874079223,-0.0131279786094663,0,0,0,-0.0052554833627965,0.0,0.891
